[2021-12-26 16:40:56:0074] | Error    | CameraModule.cpp         -L0423: camera module MV_CC_OpenDevice fail, nRet:[0x80000203].
[2021-12-26 16:40:56:0077] | Error    | Manager.cpp              -L1555: [ConnectDevice] init camera fail, nRet:[0x80010203].
[2021-12-26 16:41:18:0819] | Info     | Manager.cpp              -L1800: [DeInit] begin.
[2021-12-26 16:41:18:0819] | Info     | Manager.cpp              -L2028: [MV_STA_Stop] begin.
[2021-12-26 16:41:18:0819] | Error    | Manager.cpp              -L2038: [MV_STA_Stop] Camera is not opened.
[2021-12-26 16:41:18:0819] | Info     | CameraModule.cpp         -L0509: [DeInit] begin.
[2021-12-26 16:41:18:0819] | Error    | CameraModule.cpp         -L0517: [DeInit] MV_CC_StopGrabbing failed, nRet:[0x80000003].
[2021-12-26 16:41:18:0819] | Error    | CameraModule.cpp         -L0527: [DeInit] MV_CC_CloseDevice failed, nRet:[0x80000003].
[2021-12-26 16:41:18:0821] | Info     | CameraModule.cpp         -L0541: [DeInit] MV_CC_DestroyHandle success.
[2021-12-26 16:41:18:0821] | Info     | CameraModule.cpp         -L0553: [DeInit] end success.
[2021-12-26 16:41:18:0821] | Info     | CameraModule.cpp         -L0509: [DeInit] begin.
[2021-12-26 16:41:18:0821] | Info     | CameraModule.cpp         -L0553: [DeInit] end success.
[2021-12-26 16:41:18:0830] | Info     | Manager.cpp              -L4029: ---------------------Start call MvStereoAppCtrl.dll start--------------------
[2021-12-26 16:41:18:0831] | Info     | Manager.cpp              -L4033: Build Time[210514_10:28:03], SDK version[0x1030003].
[2021-12-26 16:41:18:0831] | Info     | Manager.cpp              -L4034: MvStereoAppCtrl.dll path [C:\Program Files (x86)\Common Files\VolumeMeasureSDK\Runtime\Win64_x64\MvStereoAppCtrl.dll]
[2021-12-26 16:41:18:0831] | Info     | Manager.cpp              -L4035: Current ExE path [D:\c++_example\ConnectCamera\x64\Debug\ConnectCamera.exe]
[2021-12-26 16:41:18:0831] | Info     | Manager.cpp              -L4039: Config (C:\Program Files (x86)\Common Files\VolumeMeasureSDK\Runtime\Win64_x64\MvStereoAppCtrlCfg.ini) exist .
[2021-12-26 16:41:18:0831] | Info     | Manager.cpp              -L4046: DebugMode[0], nLogSize[100].
[2021-12-26 16:41:18:0831] | Info     | Manager.cpp              -L1686: [Init] Begin.
[2021-12-26 16:41:18:0833] | Info     | Manager.cpp              -L1751: [Init] LoadLaser3DAllFunctions success.
[2021-12-26 16:41:18:0833] | Info     | Manager.cpp              -L1786: [Init] end success.
[2021-12-26 16:41:18:0833] | Info     | Manager.cpp              -L0085: [BindDevice] begin.
[2021-12-26 16:41:18:0833] | Info     | Manager.cpp              -L1645: [CreateHandle] begin.
[2021-12-26 16:41:18:0833] | Info     | CameraModule.cpp         -L0440: [CreateHandle] begin.
[2021-12-26 16:41:18:0833] | Info     | CameraModule.cpp         -L0464: [CreateHandle] Get Gige Sdk version:(0x3040200).
[2021-12-26 16:41:18:0834] | Info     | CameraModule.cpp         -L0494: [CreateHandle] end success.
[2021-12-26 16:41:18:0834] | Info     | Manager.cpp              -L1679: [CreateHandle] end success.
[2021-12-26 16:41:18:0834] | Info     | Manager.cpp              -L0109: [BindDevice] bind device SN[00F94631315] Model[MV-DP2305-01H] ip[0xc0a801d6] SubNetmask[-256] gateway[-1062731266] AdapteIp[0xc0a8010b].
[2021-12-26 16:41:18:0834] | Info     | Manager.cpp              -L0112: [BindDevice] end success.
[2021-12-26 16:41:18:0834] | Info     | Manager.cpp              -L1535: [ConnectDevice] begin.
